,Psychrometer
2021-07-19 00:30:00,-0.5067299604415894
2021-07-19 01:00:00,-0.5067299604415894
2021-07-19 01:30:00,-0.5067299604415894
2021-07-19 02:00:00,-0.4753733277320862
2021-07-19 02:30:00,-0.4729900658130646
2021-07-19 03:00:00,-0.4729900658130646
2021-07-19 03:30:00,-0.4729900658130646
2021-07-19 04:00:00,-0.4729900658130646
2021-07-19 04:30:00,-0.5026511549949646
2021-07-19 05:00:00,-0.5026511549949646
2021-07-19 05:30:00,-0.5026511549949646
2021-07-19 06:00:00,-0.47083890438079834
2021-07-19 06:30:00,-0.506084144115448
2021-07-19 07:00:00,-0.506084144115448
2021-07-19 07:30:00,-0.42953160405158997
2021-07-19 08:00:00,-0.5060643553733826
2021-07-19 08:30:00,-0.565483033657074
2021-07-19 09:00:00,-0.6926406025886536
2021-07-19 09:30:00,-0.7102546095848083
2021-07-19 10:00:00,-0.7449477910995483
2021-07-19 10:30:00,-0.9030784964561462
2021-07-19 11:00:00,-0.8611205816268921
2021-07-19 11:30:00,-0.8611205816268921
2021-07-19 12:00:00,-0.9120368957519531
2021-07-19 12:30:00,-1.1539067029953003
2021-07-19 13:00:00,-1.2690560817718506
2021-07-19 13:30:00,-1.1570879220962524
2021-07-19 14:00:00,-1.1111340522766113
2021-07-19 14:30:00,-1.0954599380493164
2021-07-19 15:00:00,-1.0646833181381226
2021-07-19 15:30:00,-1.0955634117126465
2021-07-19 16:00:00,-1.1376765966415405
2021-07-19 16:30:00,-0.9872358441352844
2021-07-19 17:00:00,-0.9916871190071106
2021-07-19 17:30:00,-1.2150202989578247
2021-07-19 18:00:00,-0.9691998362541199
